id,name,src,rgb
AMD-7000-414,HEATHER,AMD-7000-414.jpg,"(174, 160, 227)"
AMD-7000-418,BALLERINA,AMD-7000-418.jpg,"(245, 170, 222)"
AMD-7000-425,AQUAMARINE,AMD-7000-425.jpg,"(141, 241, 241)"
AMD-7000-436,COFFEE,AMD-7000-436.jpg,"(44, 44, 34)"
AMD-7000-438,NIGHT,AMD-7000-438.jpg,"(53, 70, 53)"
AMD-7000-454,BISON,AMD-7000-454.jpg,"(110, 80, 17)"
AMD-7000-469,ZINNIA,AMD-7000-469.jpg,"(222, 152, 223)"
AMD-7000-470,HYDRANGEA,AMD-7000-470.jpg,"(173, 177, 233)"
AMD-7000-471,LARKSPUR,AMD-7000-471.jpg,"(139, 199, 250)"
AMD-7000-472,DAHLIA,AMD-7000-472.jpg,"(253, 235, 235)"
AMD-7000-473,BOUQUET,AMD-7000-473.jpg,"(247, 233, 240)"
AMD-7000-474,HONEYDEW,AMD-7000-474.jpg,"(236, 253, 202)"
